Name,Cat_H1,Cat_H2,Cat_H3,Geo,Comment,fail_satus,Lang,Tech_desc,Tech_desc_lang,Tech_applic,Tech_applic_lang,dataset_type,meanAmount,meanValue,Unit,Owner,ILCD,Emission_dict,Emission,Emission_kg
"Majestic Perfect Beauty & Care, Jotun Paints Sdn. Bhd.",Bygg,Maling,,MY,"Data quality: The CEPE database is used as basis for the raw material composition. Specific data for the product composition and raw material amounts has been provided by the manufacturer and represents the production of the declared product. Production site data was collected in 2015. Representative data from ecoinvent v3.2 was used for other processes. The data quality for the material input in A1 is presented in tabular form.  Allocation: The allocation is made in accordance with the provisions of EN 15804. Incoming energy, water and waste production in-house is primarily allocated equally among all products through mass allocation. Specific allocation was performed for certain waste flows according to information provided by the site manager. VOC emissions have been allocated entirely to the production of solvent based paints. Effects of primary production of recycled materials is allocated to the main product in which the material was used. The recycling process and transportation of the material is allocated to this analysis.   Cut-off criteria: All major raw materials and essential energy is included. The production process for raw materials and energy flows with very small amounts (less than 0.1 % dry matter) are not included. In total, more than 99% of the material input is included. These cut-off criteria do not apply for non-energy related emissions (such as wastes, hazardous materials and substances). ",No,en,"Density: 1.15 - 1.27 g/cm³ Solids by volume: 41 ± 2 volume% Dry film thickness: 50 - 70 µm Wet film thickness: 122 - 170 µm  Theoretical spreading rate: 8.2 - 5.9 m²/l  The most representative and worst case formulation produced at the manufacturing site is chosen for this EPD. For products with a selection of colours, this will be the formulation with the highest content of titanium dioxide.  The product packaging is based on an average sized plastic packaging, including secondary packaging such as pallets and plastic wrapping.  For safety, health and environmental conditions, see the Safety Data Sheet for the declared product on www.jotun.com.  For information on technical data, application and use of the product, see the Technical Data Sheet for the declared product on www.jotun.com.",en,"Majestic Perfect Beauty & Care is a premium, long lasting paint that delivers rich beautiful colours and a healthy home. It covers cracks perfectly which enables the walls to have a perfectly smooth and flawless finish. It features Jotun's exclusive TrueColor Technology, a unique formulation of quality materials that ensure accurate, consistent and long lasting colours. This product is also proven to have the least harmful emissions with the lowest odour.  The declared product is recommended for interior application, suitable for both new buildings and repainting.  FEATURES AND BENEFITS - HEALTHY HOME - Tested to have the least harmful emissions and lowest odour. - RICH BEAUTIFUL COLOURS - Deliver rich colour hues which give your home beauty that truly lasts. - COVERS CRACKS PERFECTLY - Covers hairline cracks perfectly with a perfectly smooth and luxurious finish. - LONGEST LASTING EASY CLEAN COLOURS - Contains superior stain removal properties to maintain its rich colours and lustre after repeated cleaning. - ECOHEALTH - Free from harmful chemicals such as APEO, formaldehyde, heavy metals and has low volatile organic compound (VOC). - LOWEST ODOUR - Has the lowest odour during and after application. - ANTI-BACTERIAL & ANTI-FUNGAL - Effectively inhibit the growth and spread of more than 10 types of common household microorganisms. - ANTI-FORMALDEHYDE - Improves in-door air quality. - PERFECT COLOUR IN 2 COATS - Gives you the perfect colour in just 2 coats of paints. For information on Green Building Standard credits, see ""Additional Information"" on page 4.  The material composition of the declared mixed product is given below:",en,specific dataset,1.0,1.0,Kilogram,Jotun A/S,8c35525a-7562-4a1a-bb77-87d65355591b_00.07.001.xml,{'A1-A3': 2.355605576996},2.355605576996,2.3556056
"Jotashield Colourxtreme Silk, Jotun Saudia Co. Ltd",Bygg,Maling,,SA,"Data quality: The CEPE database is used as basis for the raw material composition. Specific data for the product composition and raw material amounts has been provided by the manufacturer and represents the production of the declared product. Production site data was collected in 2015. Representative data from ecoinvent v3.2 was used for other processes. The data quality for the material input in A1 is presented in tabular form.  Allocation: The allocation is made in accordance with the provisions of EN 15804. Incoming energy, water and waste production in-house is primarily allocated equally among all products through mass allocation. Specific allocation was performed for certain waste flows according to information provided by the site manager. VOC emissions have been allocated entirely to the production of solvent based paints. Effects of primary production of recycled materials is allocated to the main product in which the material was used. The recycling process and transportation of the material is allocated to this analysis.   Cut-off criteria: All major raw materials and essential energy is included. The production process for raw materials and energy flows with very small amounts (less than 0.1 % dry matter) are not included. In total, more than 99% of the material input is included. These cut-off criteria do not apply for non-energy related emissions (such as wastes, hazardous materials and substances). ",No,en,"Specific gravity: 1.26 g/cm³  Solids by volume: 35 ± 2 volume%  Film thickness per coat: Dry film thickness: 35 - 50 µm Wet film thickness: 100 - 143 µm Theoretical spreading rate: 10 - 7 m²/l   The most representative and worst case formulation produced at the manufacturing site is chosen for this EPD. For products with a selection of colours, this will be the formulation with the highest content of titanium dioxide.  The product packaging is based on an average sized metal packaging, including secondary packaging such as pallets and plastic wrapping.  For safety, health and environmental conditions, see the Safety Data Sheet for the declared product on www.jotun.com.  For information on technical data, application and use of the product, see the Technical Data Sheet for the declared product on www.jotun.com.",en,"Jotashield Colourxtreme Silk is a superior quality, exterior, 100% pure acrylic water based topcoat. The unique heat reflective features and UV protected colours offer outstanding protection against heat from infrared (IR) rays and destructive effect of UV rays present in sunlight. This product is specially designed to withstand the harsh middle east weather conditions and provides durable & long lasting silk finish with low dirt pick up.   The declared product is a low-VOC product that contributes to reducing energy consumption in cooling the interiors of buildings. Its unique formulation protects concrete from carbonation (acts as anticarbonation coating). Jotashield Colourxtreme Silk is ideal for decorating and protecting exterior surfaces. For information on Green Building Standard credits, see ""Additional Information"" on page 4.  The material composition of the declared mixed product is given below:",en,specific dataset,1.0,1.0,Kilogram,Jotun A/S,9ae7b1bc-1843-42a7-bf18-1aa5ee4526fa_00.08.001.xml,{'A1-A3': 2.365202030236},2.365202030236,2.365202
weber REP 975 V Concrete scratch repair (weber REP 975 V Tasoituslaasti KARKEA),Bygg,Teknisk-kjemiske byggevareprodukter,,FI,Data quality: Specific data for the product composition are provided by the manufacturer. The data represent the production of the declared product and were collected for EPD development in the year of study. Background data is based on EPDs according to EN 15804 and different LCA databases. The data quality of the raw materials in A1 is presented in the table below.  Allocation: The allocation is made in accordance with the provisions of EN 15804. Incoming energy and water and waste production in-house is allocated equally among all products through mass allocation. Effects of primary production of recycled materials is allocated to the main product in which the material was used. The recycling process and transportation of the material is allocated to this analysis.  Cut-off criteria: All major raw materials and all the essential energy is included. The production processes for raw materials and energy flows with very small amounts (less than 1%) are not included. These cut-off criteria do not apply for hazardous materials and substances. ,No,en,weber REP 975 V Concrete scratch repair is produced according to the requirements of R2 class according to SFS-EN 1504-3:2006 (Product intended for non-structural repair of concrete as polymer-modified cementious mortar for concrete repair according principles 3.1 and 3.3).  Material consumption: approx. 2 kg/m2/mm Recommended layer thickness: 3-10 mm Recommended water content: approx. 3.2 l/20 kg Mixed volume: approx. 13.6 l/20 kg  More information: www.fi.weber/betonit/betonin-korjauslaastit/weber-rep-975-v-tasoituslaasti-karkea,en,"weber REP 975 V Concrete scratch repair is frost resistant, class R2 repair mortar designed for levelling concrete surfaces and applying even surface structure prior to coating. It is light in colour. Maximum grain size is 1.2 mm. The purpose of the product is to close pores that occur in concrete surfaces and to level uneven surfaces prior to coating according to concrete repair principles 3.1. and 3.3. It gives extra support to reinforcement by slowing down the penetration of humidity and carbon dioxide into the substrate. The product can be applied by spraying or manually. It is cement based and polymer-modified (PMC). Delivered in 20 kg bags. GTIN 6415910020767.",en,specific dataset,1.0,1.0,Kilogram,Saint-Gobain Finland Oy,eacad1dc-59e4-4188-84be-9a20c84d67a2_00.03.001.xml,"{'A1-A3': 0.422380333704, 'A4': 0.018733205546, 'A5': 0.000759162376, 'C1': 5.367069708164, 'C2': 0.00272813673, 'C3': 0.0, 'C4': 0.0, 'D': -0.002204354426}",0.422380333704,0.42238033
weberbase 134 utstockningsbruk C,Bygg,Teknisk-kjemiske byggevareprodukter,,SE,"Data quality: Specific data for the product composition are provided by the manufacturer. They represent the production of the declared product and were collected for EPD development in the year of study. Background data is based on registered EPDs according to EN 15804, Ostfold Research databases, ecoinvent and other LCA databases. The data quality of the raw materials in A1 is presented in the table below.  Allocation: The allocation is made in accordance with the provisions of EN 15804. Incoming energy and water and waste production in-house is allocated equally among all products through mass allocation. Effects of primary production of recycled materials is allocated to the main product in which the material was used. The recycling process and transportation of the material is allocated to this analysis.  Cut-off criteria: All major raw materials and all the essential energy is included. The production processes for raw materials and energy flows with very small amounts (less than 1%) are not included. These cut-off criteria do not apply for hazardous materials and substances. ",No,en,"weberbase 134 utstockningsbruk C are tested and approved according to EN 998-1.  Mortar category: CS II   For further information, see www.se.weber/    ",en,"weberbase 134 utstockningsbruk C is a factory made dry mortar based on cement and lime with well graded natural sand as aggregates. When mixed with water, it's ready to use render for indoor and outdoor use. The render are sprayable and pumpable in a 60m hose. base 134 can be delivered in closed silos of 10 tons with a flow mixer to avoid dust. The composition of the product is described in the following table:",en,specific dataset,1.0,1.0,Kilogram,"Saint-Gobain Sweden AB, Weber",c7152077-28c5-4c1e-99d1-79b9edd1425e_00.03.001.xml,"{'A1-A3': 0.166876836342, 'A4': 0.02616462, 'A5': 0.008514676307, 'C1': 0.00396, 'C2': 0.00436077, 'C3': 0.000426921267, 'C4': 0.000518, 'D': -0.003573}",0.166876836342,0.16687684
webervetonit 3300 Smooth Levelling (webervetonit 3300 Oikaisutasoite),Bygg,Teknisk-kjemiske byggevareprodukter,,FI,"Data quality: Specific data for the product composition are provided by the manufacturer. They represent the production of the declared product and were collected for EPD development in the year of study. Background data is based on registered EPDs according to EN 15804, Ostfold Research databases, ecoinvent and other LCA databases. The data quality of the raw materials in A1 is presented in the table below. Plant manufacturing data is collected for 2019. Raw materials, transport and production volumes are also for 2019.    Allocation: The allocation is made in accordance with the provisions of EN 15804. Incoming energy and water and waste production in-house is allocated equally among all products through mass allocation. Effects of primary production of recycled materials is allocated to the main product in which the material was used. The recycling process and transportation of the material is allocated to this analysis.  Cut-off criteria: All major raw materials and all the essential energy is included. The production processes for raw materials and energy flows with very small amounts (less than 1%) are not included. These cut-off criteria do not apply for hazardous materials and substances. Machines and facilities (capital goods) required for and during the production are excluded, as is transportation of employees.  ",No,en,"webervetonit 3300 Smooth Levelling  is produced according to the requirements of EN 13813 (Screed material and floor screeds - Screed materials).   Density: 1.6 - 1.8 kg/dm3.  Recommended layer thickness: 5-30 mm, with fiberglass mesh reinforcement min. 10 mm, floating structure min. 20 mm Consumption:  1,7 kg/m²/ 1 mm  More information: https://www.fi.weber/lattiaratkaisut-ja-tuotteet/hienot-lattiatasoitteet/webervetonit-3300-oikaisutasoite",en,"webervetonit 3300 Smooth Levelling is hand applicable and pumpable, fast-setting, low-alkaline, fiber-reinforced cementitious  concrete floor screed without casein for virtually all coatings and substrates.  conventional substrates, the screed is suitable for spreading on wood floors, low-strength concrete, plasterboard and old tiling, for example. webervetonit 3300 Smooth Levelling is suitable for use as a floating structure detached from the substrate. In all floating structures, the screed is separated from the substrate by either a geotextile or other casting protection. Also suitable for use with underfloor heating. Coatable after 1 day up to 20 mm, 48 h up to 30 mm (+23 °C, 50% RH). Delivered in 20 kg bags and available also in 1000 kg big bags. The composition of the product is described in the following table:",en,specific dataset,1.0,1.0,Kilogram,Saint-Gobain Finland Oy,42744d38-10ed-48b1-94e4-016091bd6b9f_00.03.001.xml,"{'A1-A3': 0.228438139073, 'A4': 0.007849386, 'A5': 0.001970431276, 'C1': 0.00396, 'C2': 0.00487931955, 'C3': 0.000773604, 'C4': 0.000511784, 'D': -0.003530124}",0.228438139073,0.22843814
"Megayacht Imperial Antifouling, Jotun Paints (Europe) Ltd (UK)",Bygg,Maling,,GB,Data quality: Specific data for the product composition are provided by the manufacturer. The data represent the production of the declared product and were collected for EPD development in the year of study. Background data is based on EPDs according to EN 15804 and different LCA databases. The data quality of the raw materials in A1 is presented in the table below.  Allocation: The allocation is made in accordance with the provisions of EN 15804. Incoming energy and water and waste production in-house is allocated equally among all products through mass allocation. Effects of primary production of recycled materials is allocated to the main product in which the material was used. The recycling process and transportation of the material is allocated to this analysis.  Cut-off criteria: All major raw materials and all the essential energy is included. The production processes for raw materials and energy flows with very small amounts (less than 1%) are not included. These cut-off criteria do not apply for hazardous materials and substances. ,No,en,"Density: 1.6 g/cm³ Solids by volume: 47 ± 2 volume%  Film thickness per coat: Dry film thickness: 75 - 150 µm  Wet film thickness: 160 - 320 µm  Theoretical spreading rate: 6.4 - 3.2 m²/l  The most representative formulation produced at the manufacturing site is chosen for this EPD.  This formulation will cover the selection of colours listed in the TDS, where the GWP will not vary more than 10%.  The product packaging is based on an average sized metal packaging, including secondary packaging such as pallets and plastic wrapping.  For safety, health and environmental conditions, see the Safety Data Sheet for the declared product on www.jotun.com.  For information on technical data, application and use of the product, see the Technical Data Sheet for the declared product on www.jotun.com.",en,"Megayacht Imperial Antifouling is a one component hydrolysing silyl acrylate antifouling coating. It provides excellent fouling protection and incomparable hull performance. This is achieved through highly predictable and stable self polishing characteristics reducing hull deterioration, friction and speed loss.  The declared product is to be used as finish coat in immersed environments only. It is suitable on approved primers and tie coats on aluminium, carbon steel, composite and wood substrates. It can be applied at sub zero surface temperatures.   Megayacht Imperial Antifouling is recommended for underwater hull in newbuilding and drydocking. It is designed as a premium solution for large sailing and motor yachts operating at a wide range of speed and activity. For information on Green Building Standard credits, see subchapter ""Additional technical information"".  The material composition of the declared mixed product is given below:",en,specific dataset,1.0,1.0,Kilogram,Jotun A/S,30623ecb-a325-4f36-b4be-0814ddaccc4f_00.03.000.xml,"{'A1': 4.166104501529, 'A2': 0.193538152153, 'A3': 0.131802553147, 'A4': 0.019089416455, 'C1': 0.0, 'C2': 0.003111486872, 'C3': 0.0, 'C4': 0.013808789045, 'D': 0.0, 'A1-A3': 4.491445206829}",4.491445206829,4.491445
"Jotafloor Topcoat E, P.T. Jotun Indonesia",Bygg,Maling,,ID,"Data quality: The CEPE database is used as basis for the raw material composition. Specific data for the product composition and raw material amounts has been provided by the manufacturer and represents the production of the declared product. Production site data was collected in 2015. Representative data from ecoinvent v3.2 was used for other processes. The data quality for the material input in A1 is presented in tabular form.  Allocation: The allocation is made in accordance with the provisions of EN 15804. Incoming energy, water and waste production in-house is primarily allocated equally among all products through mass allocation. Specific allocation was performed for certain waste flows according to information provided by the site manager. VOC emissions have been allocated entirely to the production of solvent based paints. Effects of primary production of recycled materials is allocated to the main product in which the material was used. The recycling process and transportation of the material is allocated to this analysis.   Cut-off criteria: All major raw materials and essential energy is included. The production process for raw materials and energy flows with very small amounts (less than 0.1 % dry matter) are not included. In total, more than 99% of the material input is included. These cut-off criteria do not apply for non-energy related emissions (such as wastes, hazardous materials and substances). ",No,en,"Product mixing ratio (by volume): Jotafloor Topcoat E Comp A: 4 part(s) Jotafloor Topcoat E Comp B (40): 1 part(s)  NO PART MIXING. Use a slow speed drill and mixing paddle.  The temperature of base and curing agent is recommended to be 18 °C or higher when the paint is mixed.  Density Comp A:  1.496 - 1.604 g/cm³ Density Comp B: 1.02 g/cm³ Solids by volume: 98 ± 2 volume%  Dry film thickness: 100 - 250 um.  Wet film thickness: 100 - 255 um.  Theoretical spreading rate: 9.8 -3.92 m²/l.  The most representative and worst case formulation produced at the manufacturing site is chosen for this EPD. For products with a selection of colours, this will be the formulation with the highest content of titanium dioxide.  The product packaging is based on an average sized metal packaging, including secondary packaging such as pallets and plastic wrapping.  For safety, health and environmental conditions, see the Safety Data Sheet for the declared product on www.jotun.com.  For information on technical data, application and use of the product, see the Technical Data Sheet for the declared product on www.jotun.com.",en,"Jotafloor Topcoat E is a two component amine cured solvent free epoxy coating. It is a high performance product. It is easy to apply. This product is tintable in a wide range of colors in Jotun's Multicolor Industry (MCI) system. It has excellent chemical, abrasion and impact resistance. If enhanced slip resistance is required Jotafloor Non Slip can be used in the system.  The declared product is to be used as topcoat in atmospheric environments and is suitable on approved primers on concrete substrates. It is designed for a wide range of floors with various levels of mechanical and chemical exposure. This product is specially designed for floors where a dust free, hard wearing and aesthetically pleasing coating is required.   Typical use areas are industrial floors, laboratories, hospitals, food and beverage plants, kitchens, high tech manufacturing facilities, dairies, warehouses, factories and hangars. For information on Green Building Standard credits, see ""Additional Information"" on page 4.  The material composition of the declared mixed product is given below:",en,specific dataset,1.0,1.0,Kilogram,Jotun A/S,37054897-c12c-4b57-905a-df137f25e48e_00.05.001.xml,{'A1-A3': 4.994158687078},4.994158687078,4.9941587
"Jotashield ColourLast Matt, Jotun Paints Co. L.L.C. (Oman)",Bygg,Maling,,OM,Data quality: Specific data for the product composition are provided by the manufacturer. The data represent the production of the declared product and were collected for EPD development in the year of study. Background data is based on EPDs according to EN 15804 and different LCA databases. The data quality of the raw materials in A1 is presented in the table below.  Allocation: The allocation is made in accordance with the provisions of EN 15804. Incoming energy and water and waste production in-house is allocated equally among all products through mass allocation. Effects of primary production of recycled materials is allocated to the main product in which the material was used. The recycling process and transportation of the material is allocated to this analysis.  Cut-off criteria: All major raw materials and all the essential energy is included. The production processes for raw materials and energy flows with very small amounts (less than 1%) are not included. These cut-off criteria do not apply for hazardous materials and substances. ,No,en,"Specific gravity: 1.3 g/cm³ Solids by volume: 34 ± 2 volume%  Film thickness per coat: Dry film thickness: 35 - 50 µm Wet film thickness: 102 - 147 µm   Theoretical spreading rate: 9.7 - 6.8 m²/l  The most representative and worst case formulation produced at the manufacturing site is chosen for this EPD. For products with a selection of colours, this will be the formulation with the highest content of titanium dioxide.  The product packaging is based on an average sized metal packaging, including secondary packaging such as pallets and plastic wrapping.  For safety, health and environmental conditions, see the Safety Data Sheet for the declared product on www.jotun.com.  For information on technical data, application and use of the product, see the Technical Data Sheet for the declared product on www.jotun.com.",en,"Jotashield ColourLast Matt is a superior quality, exterior, 100% pure acrylic water based topcoat. The unique UV protected colours offer outstanding protection against destructive effect of UV rays present in sunlight.  The declared product is specially designed to withstand the harsh middle east weather conditions and provides durable & long lasting matt finish with low dirt pick up. Its unique formulation protects concrete from carbonation (acts as anti carbonation coating).   Jotashield ColourLast Matt is ideal for decorating and protecting exterior surfaces. It can also be used in interior areas such as Basement car park walls and ceilings as an highly effective anti carbonation coating. For information on Green Building Standard credits, see subchapter ""Additional technical information"".  The material composition of the declared mixed product is given below:",en,specific dataset,1.0,1.0,Kilogram,Jotun A/S,584db69f-1317-49bb-9118-03fb10487912_00.03.000.xml,"{'A1': 2.168970180791, 'A2': 0.055960285225, 'A3': 0.052986272477, 'A4': 0.014072402568, 'C1': 0.0, 'C2': 0.00227831666, 'C3': 0.0, 'C4': 0.002529733003, 'D': 0.0, 'A1-A3': 2.2779167384929995}",2.2779167384929995,2.2779167
"Jotafloor SF PR 150, Jotun Saudia Co. Ltd (Yanbu)",Bygg,Maling,,SA,Data quality: Specific data for the product composition are provided by the manufacturer. The data represent the production of the declared product and were collected for EPD development in the year of study. Background data is based on EPDs according to EN 15804 and different LCA databases. The data quality of the raw materials in A1 is presented in the table below.  Allocation: The allocation is made in accordance with the provisions of EN 15804. Incoming energy and water and waste production in-house is allocated equally among all products through mass allocation. Effects of primary production of recycled materials is allocated to the main product in which the material was used. The recycling process and transportation of the material is allocated to this analysis.  Cut-off criteria: All major raw materials and all the essential energy is included. The production processes for raw materials and energy flows with very small amounts (less than 1%) are not included. These cut-off criteria do not apply for hazardous materials and substances. ,No,en,"Product mixing ratio (by volume): Jotafloor SF PR 150 Comp A: 3 part(s)  Jotafloor SF PR 150 Comp B: 1 part(s)  Density: 1.0 g/cm³ Solids by volume: 98 ± 2 volume%  Film thickness per coat: Dry film thickness: 150 - 300 µm Wet film thickness: 150 - 300 µm   Theoretical spreading rate: 6.7 - 3.3 m²/l  The most representative and worst case formulation produced at the manufacturing site is chosen for this EPD. For products with a selection of colours, this will be the formulation with the highest content of titanium dioxide.  The product packaging is based on an average sized metal packaging, including secondary packaging such as pallets and plastic wrapping.  For safety, health and environmental conditions, see the Safety Data Sheet for the declared product on www.jotun.com.  For information on technical data, application and use of the product, see the Technical Data Sheet for the declared product on www.jotun.com.",en,"Jotafloor SF PR 150 is a two component amine cured solvent free epoxy coating. It ensures very good adhesion on most concrete floors in atmospheric environments only. To be used as primer in atmospheric environments. It is specially designed for high build floor coatings on properly prepared concrete substrates.  The declared product is a primer for all Jotafloor products. It is specially designed for use with the traffic deck system for heavy duty traffic, areas such as ramps, car parks, parking bays, pedestrian walkways, roof decks and industrial floors. Recommended for cold stores, laboratories, hospitals, food and beverage plants, kitchens, high tech manufacturing facilities, dairies, warehouses, factories and hangars.  Jotafloor SF PR 150 when used with Jotafloor Non Slip Aggregates, is suitable for filling and repairing of cracks, undulations and surface imperfections. For information on Green Building Standard credits, see subchapter ""Additional Technical Information"".  The material composition of the declared mixed product is given below:",en,specific dataset,1.0,1.0,Kilogram,Jotun A/S,e10db6f2-c43f-47f3-bcdc-ca61af19d287_00.03.000.xml,"{'A1-A3': 7.165890394306, 'A4': 0.077892742858, 'C1': 0.0, 'C2': 0.003955410868, 'C3': 0.0, 'C4': 0.004479735527, 'D': 0.0}",7.165890394306,7.16589
Reinforcement fitting cross Pc-Coat  ,Bygg,"Stål-, aluminiumskonstruksjoner",,CN,Data quality: Specific data for the product composition are provided by the manufacturer. The data represent the production of the declared product and were collected for EPD development in the year of study. Background data is based on EPDs according to EN 15804 and different LCA databases. The data quality of the raw materials in A1 is presented in the table below.  Allocation: The allocation is made in accordance with the provisions of EN 15804. Incoming energy and water and waste production in-house is allocated equally among all products through mass allocation. Effects of primary production of recycled materials is allocated to the main product in which the material was used. The recycling process and transportation of the material is allocated to this analysis.  Cut-off criteria: All major raw materials and all the essential energy is included. The production processes for raw materials and energy flows with very small amounts (less than 1%) are not included. These cut-off criteria do not apply for hazardous materials and substances. ,No,en,M16/Ø18 40x40x8 – 2xØ8x600 M20/Ø22 40x40x8 – 2xØ8x600 Rebar welded on both sides with square plate.,en,"Reinforcement fitting for use with bolts for PE foam. The fixture is mounted on the bolt after assembly of the reinforcement mesh, helping to keep the mesh in place during sprayed concrete application.  Pc-Coat® duplex coating. Provides optimum corrosion protection for steel using three different processes • Hot-dip galvanizing • Zinc-manganese phosphating • Powder coating CE marked according to NS EN 1090-1.",en,specific dataset,1.0,1.0,Kilogram,Pretec Norge AS,8ff5cafb-9fac-4c29-9166-92ddcfbe5b34_00.03.000.xml,"{'A1-A3': 1.45684027297, 'A4': 0.132499416445, 'A5': 0.0, 'C1': 0.05674445843, 'C2': 0.0261469485, 'C3': 0.013333907052, 'C4': 0.000495843516, 'D': 0.221445978318}",1.45684027297,1.4568403
weberfloor 130 core,Bygg,Mørtel,,SE,"Data quality: Specific data for the product composition are provided by the manufacturer. They represent the production of the declared product and were collected for EPD development in the year of study. Background data is based on registered EPDs according to EN 15804, Ostfold Research databases, ecoinvent and other LCA databases. The data quality of the raw materials in A1 is presented in the table below.  Allocation: The allocation is made in accordance with the provisions of EN 15804. Incoming energy and water and waste production in-house is allocated equally among all products through mass allocation. Effects of primary production of recycled materials is allocated to the main product in which the material was used. The recycling process and transportation of the material is allocated to this analysis.  Cut-off criteria: All major raw materials and all the essential energy is included. The production processes for raw materials and energy flows with very small amounts (less than 1%) are not included. These cut-off criteria do not apply for hazardous materials and substances. ",No,en,"weberfloor 130 core is designed, produced and CE marked according to  EN 13813   For further information, see www.se.weber/ ",en,"Weberfloor 130 Core is a self-drying pumpable levelling compound for thicker layers for floors in housing, offices and public areas indoors. It is  suitable as a base layer or as underlayment for surface coverings such as tiles, vinyl flooring, linoleum flooring and floating parquetry. The product is moisture-resistant, slag and casein-free. The composition of the product is described in the following table:",en,specific dataset,1.0,1.0,Kilogram,"Saint-Gobain Sweden AB, Weber floor ",a3d427cb-5675-4515-92a7-3445b9c0a911_00.06.001.xml,"{'A1': 0.119579850795, 'A2': 0.015335306459, 'A3': 0.015786598575, 'A4': 0.02616462, 'A1-A3': 0.150701755829}",0.150701755829,0.15070176
"Jotafloor Sealer HS, Jotun Saudia Co. Ltd (Yanbu)",Bygg,Maling,,SA,Data quality: Specific data for the product composition are provided by the manufacturer. The data represent the production of the declared product and were collected for EPD development in the year of study. Background data is based on EPDs according to EN 15804 and different LCA databases. The data quality of the raw materials in A1 is presented in the table below.  Allocation: The allocation is made in accordance with the provisions of EN 15804. Incoming energy and water and waste production in-house is allocated equally among all products through mass allocation. Effects of primary production of recycled materials is allocated to the main product in which the material was used. The recycling process and transportation of the material is allocated to this analysis.  Cut-off criteria: All major raw materials and all the essential energy is included. The production processes for raw materials and energy flows with very small amounts (less than 1%) are not included. These cut-off criteria do not apply for hazardous materials and substances. ,No,en,"Jotafloor Sealer HS Comp A: 3 part(s). Jotafloor Sealer HS Comp B: 1 part(s).  Density: 1.1 g/cm³ Solids by volume: 90 ± 2 volume%  Film thickness per coat: Wet film thickness: 70 - 120 µm Dry film thickness: 63 - 108 µm   Theoretical spreading rate: 14.2 - 8.2 m²/l  The most representative and worst case formulation produced at the manufacturing site is chosen for this EPD. For products with a selection of colours, this will be the formulation with the highest content of titanium dioxide.  The product packaging is based on an average sized metal packaging, including secondary packaging such as pallets and plastic wrapping.  For safety, health and environmental conditions, see the Safety Data Sheet for the declared product on www.jotun.com.  For information on technical data, application and use of the product, see the Technical Data Sheet for the declared product on www.jotun.com.",en,"Jotafloor Sealer HS is a two component amine cured epoxy coating. It exhibits excellent penetration properties to ensure good adhesion on most concrete floors in atmospheric environments only.   The declared product is especially suited for properly prepared concrete substrates. Jotafloor Sealer HS is a sealer for all Jotafloor products. It is specially designed for use independently as a dust binder for concrete floors.  Jotafloor Sealer HS is recommended for warehouses, garages, dairies, factories, laboratories, aircraft hangars, food, beverage and plant rooms.  For information on Green Building Standard credits, see subchapter ""Additional technical information"".   The material composition of the declared mixed product is given below:",en,specific dataset,1.0,1.0,Kilogram,Jotun A/S,05e9fbbd-90d8-4a36-b09c-29a533a1f197_00.03.000.xml,"{'A1-A3': 7.327295681421, 'A4': 0.077892742858, 'C1': 0.0, 'C2': 0.00360735868, 'C3': 0.0, 'C4': 0.004216221672, 'D': 0.0}",7.327295681421,7.327296
